case_number,parcel_id,purchase_price,status,address
00310-2025,30-31-20-0000-0002-3190,500.00,LIST OF LANDS - AVAILABLE FOR PUBLIC,0 FT GREEN RD
00312-2025,23-29-33-1423-8300-0750,2500.00,LIST OF LANDS - AVAILABLE FOR PUBLIC,3321 OAK MEADOWS LN
00313-2025,26-28-29-6320-0000-5111,32149.84,LIST OF LANDS - AVAILABLE FOR PUBLIC,758 AVENUE A SW
00314-2025,27-27-28-7700-0000-1082,1000.00,LIST OF LANDS - AVAILABLE FOR PUBLIC,0 FT GREEN RD
00589-2025,26-25-13-9999-8102-3020,2834.46,LIST OF LANDS - AVAILABLE FOR PUBLIC,821 RETREAT BLVD #202
00879-2025,29-31-30-9933-2600-1712,1145.84,LIST OF LANDS - BOCC HOLD,INDIAN PIPES TRL
